Net Status Report
Filename     : D:\Relectrify\CircuitBoard\CircuitStudio\Demo_v1\Demo_v1_2.PcbDoc
Date         : 12/08/2015
Time         : 21:42:41
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetLEDDriver.B6_8, Signal Layers Only, 626.631mils
    NetMP1_x0, Signal Layers Only, 7515.098mils
    NetMP1_y0, Signal Layers Only, 2743.936mils
    NetNMOS*.B1_1, Signal Layers Only, 421.192mils
    NetNMOS*.B2_1, Signal Layers Only, 421.192mils
    NetNMOS*.B3_1, Signal Layers Only, 421.192mils
    NetNMOS*.B4_1, Signal Layers Only, 411.99mils
    NetNMOS*.B5_1, Signal Layers Only, 421.192mils
    NetNMOS*.B6_1, Signal Layers Only, 421.192mils
    NetOC_1.B1_1, Signal Layers Only, 100.813mils
    NetOC_1.B1_3, Signal Layers Only, 107.672mils
    NetOC_1.B2_1, Signal Layers Only, 100.813mils
    NetOC_1.B2_3, Signal Layers Only, 107.672mils
    NetOC_1.B3_1, Signal Layers Only, 100.813mils
    NetOC_1.B3_3, Signal Layers Only, 104.33mils
    NetOC_1.B4_1, Signal Layers Only, 100.813mils
    NetOC_1.B4_3, Signal Layers Only, 97.829mils
    NetOC_1.B5_1, Signal Layers Only, 100.813mils
    NetOC_1.B5_3, Signal Layers Only, 97.829mils
    NetOC_1.B6_1, Signal Layers Only, 100.813mils
    NetOC_1.B6_3, Signal Layers Only, 107.672mils
    NetOC_2.B1_1, Signal Layers Only, 231.854mils
    NetOC_2.B1_3, Signal Layers Only, 84.341mils
    NetOC_2.B1_4, Signal Layers Only, 239.98mils
    NetOC_2.B2_1, Signal Layers Only, 231.854mils
    NetOC_2.B2_3, Signal Layers Only, 84.341mils
    NetOC_2.B2_4, Signal Layers Only, 239.98mils
    NetOC_2.B3_1, Signal Layers Only, 231.854mils
    NetOC_2.B3_3, Signal Layers Only, 84.341mils
    NetOC_2.B3_4, Signal Layers Only, 239.98mils
    NetOC_2.B4_1, Signal Layers Only, 231.854mils
    NetOC_2.B4_3, Signal Layers Only, 84.341mils
    NetOC_2.B4_4, Signal Layers Only, 239.98mils
    NetOC_2.B5_1, Signal Layers Only, 231.854mils
    NetOC_2.B5_3, Signal Layers Only, 84.341mils
    NetOC_2.B5_4, Signal Layers Only, 239.98mils
    NetOC_2.B6_1, Signal Layers Only, 231.854mils
    NetOC_2.B6_3, Signal Layers Only, 84.341mils
    NetOC_2.B6_4, Signal Layers Only, 239.98mils
    NetR11.B1_1, Signal Layers Only, 83.516mils
    NetR11.B2_1, Signal Layers Only, 83.516mils
    NetR11.B3_1, Signal Layers Only, 83.516mils
    NetR11.B4_1, Signal Layers Only, 83.516mils
    NetR11.B5_1, Signal Layers Only, 83.516mils
    NetR11.B6_1, Signal Layers Only, 83.516mils
    PCTRL1, Signal Layers Only, 1763.226mils
    PCTRL2, Signal Layers Only, 1554.478mils
    PCTRL3, Signal Layers Only, 1002.317mils
    PCTRL4, Signal Layers Only, 521.727mils
    PCTRL5, Signal Layers Only, 799.249mils
    PCTRL6, Signal Layers Only, 1548.598mils
count : 166
